Clusters	Gene1	Gene2
0	ENSG00000265265.1	ENSG00000235213.1
0	ENSG00000273472.1	ENSG00000267180.1
0	ENSG00000268059.1	ENSG00000213862.4
0	ENSG00000267098.1	ENSG00000185942.7
0	ENSG00000135773.8	ENSG00000139629.11
0	ENSG00000183671.8	ENSG00000261801.1
0	ENSG00000255074.1	ENSG00000259116.1
0	ENSG00000254653.1	ENSG00000103599.15
0	ENSG00000261407.1	ENSG00000261696.1
0	ENSG00000240233.2	ENSG00000272275.1
0	ENSG00000132698.9	ENSG00000263657.1
0	ENSG00000229360.1	ENSG00000162490.6
0	ENSG00000206731.1	ENSG00000221843.2
0	ENSG00000215203.2	ENSG00000227019.2
0	ENSG00000229739.1	ENSG00000230215.1
0	ENSG00000206448.3	ENSG00000185689.11
0	ENSG00000239224.2	ENSG00000103569.5
0	ENSG00000256955.1	ENSG00000252908.1
0	ENSG00000236844.1	ENSG00000257531.2
0	ENSG00000249848.1	ENSG00000261469.1
0	ENSG00000234383.1	ENSG00000240906.2
0	ENSG00000185823.2	ENSG00000240093.1
0	ENSG00000230316.2	ENSG00000262870.1
0	ENSG00000201326.1	ENSG00000214433.4
0	ENSG00000198829.5	ENSG00000255446.1
0	ENSG00000224614.1	ENSG00000260454.1
0	ENSG00000263648.1	ENSG00000265040.1
0	ENSG00000254561.2	ENSG00000267043.1
0	ENSG00000263914.1	ENSG00000257773.1
0	ENSG00000260302.1	ENSG00000171049.8
0	ENSG00000224972.1	ENSG00000260448.1
0	ENSG00000258983.1	ENSG00000267387.1
0	ENSG00000211904.2	ENSG00000271150.1
0	ENSG00000199488.1	ENSG00000269832.1
0	ENSG00000171747.4	ENSG00000230856.1
0	ENSG00000248174.1	ENSG00000234618.1
0	ENSG00000250404.1	ENSG00000270751.1
0	ENSG00000255276.1	ENSG00000255853.1
0	ENSG00000226141.1	ENSG00000229196.3
0	ENSG00000225156.2	ENSG00000228417.1
0	ENSG00000260213.1	ENSG00000224402.1
0	ENSG00000258013.2	ENSG00000257277.1
0	ENSG00000266379.2	ENSG00000108813.9
0	ENSG00000187173.3	ENSG00000265957.1
0	ENSG00000186704.8	ENSG00000198633.6
0	ENSG00000177752.10	ENSG00000185267.5
0	ENSG00000270723.1	ENSG00000228804.1
0	ENSG00000207001.1	ENSG00000252198.1
0	ENSG00000186399.8	ENSG00000261316.1
0	ENSG00000235967.1	ENSG00000255991.2
0	ENSG00000196584.2	ENSG00000221338.1
